arch,lob,seed,mape,rmspe,n_companies,n_filtered,training_time,epochs_trained,best_val_loss
gru_attention,workers_compensation,11,0.24938916749720977,0.35645206619428993,234,0,58.19,201,0.022679596607174193
gru_attention,workers_compensation,12,0.24938916749720977,0.35645206619428993,234,0,58.29,203,0.0038411698104547603
gru_attention,workers_compensation,13,0.0831455573140806,0.17207650953657072,234,0,83.58,294,0.0012569804260108089
gru_attention,workers_compensation,14,0.08969608175395606,0.1457681239246364,234,0,59.87,219,0.0012108726742943482
gru_attention,workers_compensation,15,0.11844571049689631,0.18535510515524262,234,0,121.22,400,0.0011748881245564138
gru_attention,workers_compensation,16,0.10716517140643746,0.17725901327316243,234,0,130.31,382,0.0011603151547855564
gru_attention,workers_compensation,17,0.24938916749720977,0.35645206619428993,234,0,55.78,201,0.022679596607174193
gru_attention,workers_compensation,18,0.24938916749720977,0.35645206619428993,234,0,54.03,205,0.0038441527701382127
gru_attention,workers_compensation,19,0.24938916749720977,0.35645206619428993,234,0,66.49,201,0.022679596607174193
gru_attention,workers_compensation,20,0.14717925987694302,0.2033608579700434,234,0,71.59,216,0.0011902351980097592
gru_attention,workers_compensation,21,0.24938916749720977,0.35645206619428993,234,0,66.22,210,0.0038598202102418456
gru_attention,workers_compensation,22,0.17108832430590745,0.23421976105674236,234,0,85.43,256,0.0011400350319620753
gru_attention,workers_compensation,23,0.18366833244550942,0.26883931459100535,234,0,97.06,218,0.0011221840977668762
gru_attention,workers_compensation,24,0.1264087504677621,0.20026435086542896,234,0,103.18,285,0.0011583867599256337
gru_attention,workers_compensation,25,0.19542756554222382,0.27156573750279595,234,0,114.77,298,0.0011360529627251839
gru_attention,workers_compensation,26,0.1658074558883396,0.2356675037082668,234,0,111.57,230,0.0011333644839136728
gru_attention,workers_compensation,27,0.14861302782014155,0.21927274280052417,234,0,144.53,228,0.0011695193575828203
gru_attention,workers_compensation,28,0.13174862053887407,0.19922001811429413,234,0,137.04,289,0.0011579538279745197
gru_attention,workers_compensation,29,0.24938916749720977,0.35645206619428993,234,0,124.22,201,0.022679596607174193
gru_attention,workers_compensation,30,0.24938916749720977,0.35645206619428993,234,0,61.8,217,0.003860236212079014
gru_attention,workers_compensation,31,0.24938916749720977,0.35645206619428993,234,0,57.33,219,0.0037864520147975
gru_attention,workers_compensation,32,0.24938916749720977,0.35645206619428993,234,0,63.77,217,0.00381147741739239
gru_attention,workers_compensation,33,0.20146552015216018,0.2763734250596781,234,0,70.57,245,0.0011465754193652952
gru_attention,workers_compensation,34,0.24938916749720977,0.35645206619428993,234,0,57.84,201,0.022679596607174193
gru_attention,workers_compensation,35,0.24938916749720977,0.35645206619428993,234,0,63.7,217,0.0038410530957792488
gru_attention,workers_compensation,36,0.24938916749720977,0.35645206619428993,234,0,59.38,205,0.0038168098711009535
gru_attention,workers_compensation,37,0.24938916749720977,0.35645206619428993,234,0,53.16,201,0.022679596607174193
gru_attention,workers_compensation,38,0.24938916749720977,0.35645206619428993,234,0,59.31,206,0.00380122332301523
gru_attention,workers_compensation,39,0.12061029851849939,0.20754819176903888,234,0,76.87,257,0.0012088217938851034
gru_attention,workers_compensation,40,0.16986110451433287,0.2330412010187441,234,0,70.25,243,0.0012187396475513066
gru_attention,workers_compensation,41,0.09222755813748304,0.24586517149700357,234,0,67.88,234,0.001131180823514504
gru_attention,workers_compensation,42,0.09089238374320803,0.15991390587410337,234,0,67.09,235,0.0011369811005092093
gru_attention,workers_compensation,43,0.24938916749720977,0.35645206619428993,234,0,112.3,367,0.003991889700825725
gru_attention,workers_compensation,44,0.1049412233671033,0.18634983574237243,234,0,83.97,293,0.0011175365652889013
gru_attention,workers_compensation,45,0.08525994266003203,0.18621273783156178,234,0,63.76,242,0.0011713417646076
gru_attention,workers_compensation,46,0.24938916749720977,0.35645206619428993,234,0,61.09,232,0.003800277332110064
gru_attention,workers_compensation,47,0.24938916749720977,0.35645206619428993,234,0,68.95,237,0.003825369091438396
gru_attention,workers_compensation,48,0.08542917774387565,0.18740203297746708,234,0,149.74,252,0.0011876165351298238
gru_attention,workers_compensation,49,0.17458618809785367,0.23960708868242567,234,0,84.17,222,0.0011947261435644968
gru_attention_unmasked,private_passenger_auto,0,0.04410758554311329,0.08234817465421156,284,0,179.97,228,0.00048796869749720726
gru_attention_unmasked,private_passenger_auto,1,0.16484432457406684,0.272349480981291,284,0,79.05,201,0.007078927010297775
gru_attention_unmasked,private_passenger_auto,2,0.16484432457406684,0.272349480981291,284,0,77.4,201,0.007078927010297775
gru_attention_unmasked,private_passenger_auto,3,0.16484432457406684,0.272349480981291,284,0,90.6,201,0.007078927010297775
gru_attention_unmasked,private_passenger_auto,4,0.16484432457406684,0.272349480981291,284,0,82.88,201,0.007078927010297775
gru_attention_unmasked,private_passenger_auto,5,0.16484432457406684,0.272349480981291,284,0,96.49,204,0.0033965372842633063
gru_attention_unmasked,private_passenger_auto,6,0.16484432457406684,0.272349480981291,284,0,95.05,201,0.007078927010297775
gru_attention_unmasked,private_passenger_auto,7,0.16484432457406684,0.272349480981291,284,0,94.52,201,0.007078927010297775
gru_attention_unmasked,private_passenger_auto,8,0.059937962828648134,0.10537788877846789,284,0,109.15,235,0.0005297641425083081
gru_attention_unmasked,private_passenger_auto,9,0.09236138245285337,0.15148539551132392,284,0,212.77,239,0.000510200586480399
gru_attention_unmasked,private_passenger_auto,10,0.06441486940699949,0.11256075186328568,284,0,190.76,208,0.0004999087509026544
gru_attention_unmasked,private_passenger_auto,11,0.16484432457406684,0.272349480981291,284,0,184.16,201,0.007078927010297775
